MatchID,Date,PlayerName,Team,Opponent,Position,TotalRaids,SuccessfulRaids,TotalTackles,SuccessfulTackles,RaidPoints,TacklePoints,MatchDuration,RaidSuccessRate,TackleSuccessRate,PointsScored,Injuries,YellowCards,RedCards,MatchResult,TeamPoints,OpponentPoints,MVP,DateOfBirth,PlayerAge,PlayerNationality,MatchLocation,HomeOrAway,TeamRank,WinStreak,LossStreak,PlayerExperience,TotalMatchesPlayed,IsAllRounder
1,2025-05-07,Aashish B,U Mumba,Bengal Warriors,All-Rounder,10,8,3,3,8,6,34,80.0,100.0,14,2,1,1,Loss,29,33,N/A,1985-11-18,39,Bangladesh,Kolkata,Away,8,3,4,9,21,False
2,2025-04-11,Rahul Chaudhari,Jaipur Pink Panthers,Patna Pirates,Raider,15,6,15,7,6,14,30,40.0,46.67,20,0,1,1,Win,38,19,N/A,2005-03-18,20,Pakistan,Bengaluru,Away,11,1,4,3,95,False
3,2021-01-24,Surender Nada,Patna Pirates,Tamil Thalaivas,Defender,18,16,13,4,16,8,42,88.89,30.77,24,3,0,0,Loss,28,29,Surender Nada,2004-01-12,21,Sri Lanka,Chennai,Away,12,1,1,10,70,False
4,2022-10-27,Mohit,Dabang Delhi,Patna Pirates,Defender,16,7,7,5,7,10,38,43.75,71.43,17,2,1,1,Loss,37,16,Mohit,2000-04-25,25,Bangladesh,Patna,Away,1,5,0,11,38,False
5,2022-03-22,Tushar,Jaipur Pink Panthers,Tamil Thalaivas,Defender,11,3,4,3,3,6,42,27.27,75.0,9,3,1,0,Loss,37,29,Tushar,1995-03-05,30,Sri Lanka,Mumbai,Away,4,3,2,7,58,False
6,2020-11-20,Surender Gill,UP Yoddha,Bengal Warriors,Defender,7,2,15,0,2,0,34,28.57,0.0,2,2,1,0,Loss,29,19,N/A,1988-03-06,37,India,Bengaluru,Away,4,3,0,11,87,False
7,2021-02-18,Vikas Kandola,Hariyana Steelers,Telugu Titans,Defender,22,16,14,1,16,2,40,72.73,7.14,18,1,1,0,Loss,21,21,N/A,2002-01-01,23,India,Patna,Away,9,1,3,12,43,False
8,2020-06-06,Mohit,Telugu Titans,Patna Pirates,All-Rounder,14,5,8,7,5,14,44,35.71,87.5,19,1,1,0,Win,37,28,N/A,1998-09-03,26,India,Mumbai,Away,2,2,5,5,84,False
9,2023-08-19,Meetu Sharma,Hariyana Steelers,Bengal Warriors,Raider,15,4,13,9,4,18,32,26.67,69.23,22,0,1,0,Loss,35,24,Meetu Sharma,2004-01-07,21,Nepal,Patna,Away,9,4,2,3,39,False
10,2020-11-23,Jeeva Kumar,Tamil Thalaivas,Telugu Titans,Raider,20,3,7,1,3,2,46,15.0,14.29,5,2,0,1,Loss,31,21,N/A,1994-06-19,30,Sri Lanka,Chandigarh,Away,3,5,1,6,53,False
